               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,             0.02644,            0.011454,                   0,               0.745,             0.77143,             0.82774,              0.6285,             0.02897,           0.0042186,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.026403,            0.011501,                   0,             0.77728,             0.77809,             0.81898,             0.61501,             0.03147,           0.0043564,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.026445,            0.011875,                   0,             0.73733,             0.75562,             0.77022,             0.57628,            0.031968,           0.0046046,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.025176,            0.011355,                   0,             0.76521,              0.7873,             0.84276,             0.63762,            0.033254,            0.004122,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.025377,            0.011129,                   0,             0.83232,             0.74438,             0.84622,             0.65433,            0.029658,           0.0041189,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.02486,            0.011418,                   0,             0.74583,             0.76966,             0.82462,             0.63071,             0.03185,           0.0040856,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.025559,            0.011372,                   0,             0.76939,             0.81461,             0.84186,             0.64236,             0.02632,           0.0039799,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.025506,            0.011134,                   0,             0.75025,             0.80163,             0.84267,             0.64185,            0.026721,           0.0040971,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.025687,            0.011354,                   0,             0.78854,             0.81742,             0.87058,             0.65295,            0.028828,           0.0040544,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.025355,            0.011088,                   0,             0.75129,             0.80608,             0.83042,             0.64684,            0.023779,           0.0039291,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.02548,            0.011491,                   0,             0.81517,             0.84242,             0.88537,             0.69438,              0.0302,           0.0038446,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.024029,            0.010694,                   0,             0.80964,             0.78652,             0.85391,             0.64927,            0.024424,           0.0040516,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.024519,            0.010824,                   0,             0.73498,             0.77247,             0.78092,             0.59781,            0.030058,           0.0042869,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.024659,            0.010622,                   0,             0.78833,             0.75324,             0.80907,             0.62618,            0.031949,           0.0042998,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.024586,            0.010702,                   0,             0.82499,             0.82099,               0.868,             0.67244,            0.023748,           0.0041517,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.024152,            0.010588,                   0,             0.82264,             0.81461,             0.88315,             0.68908,               0.023,           0.0036918,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.024227,            0.010882,                   0,             0.80573,             0.83427,             0.89057,             0.68695,            0.026447,           0.0038728,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.024404,             0.01085,                   0,             0.75631,              0.8118,             0.83369,             0.63059,            0.025937,           0.0042386,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.024026,             0.01071,                   0,             0.80191,             0.86517,             0.89898,             0.70186,            0.025849,           0.0037408,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.023628,             0.01036,                   0,             0.74561,             0.82584,             0.83622,             0.64609,            0.025624,           0.0040789,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.023842,            0.010639,                   0,             0.80178,             0.82022,             0.88246,             0.68865,              0.0293,           0.0038531,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.022672,            0.010115,                   0,             0.83875,             0.79213,             0.87047,             0.69218,            0.026164,           0.0037727,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.02375,            0.010801,                   0,             0.82134,             0.82022,             0.87864,             0.68024,            0.026423,           0.0040129,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.023088,            0.010167,                   0,             0.80442,             0.82029,             0.88295,             0.69318,            0.029107,            0.004111,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.023669,            0.010386,                   0,             0.77679,             0.83427,             0.87362,             0.69854,            0.024213,            0.004112,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.022667,           0.0097241,                   0,             0.81833,             0.86041,             0.90359,             0.70889,             0.02366,           0.0035998,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.023614,            0.010196,                   0,              0.7395,              0.8293,             0.85811,             0.66375,            0.028883,           0.0038563,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.022714,           0.0099546,                   0,             0.83028,             0.83146,             0.89558,             0.69855,            0.027939,           0.0037166,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.023135,            0.010431,                   0,             0.83618,             0.80899,             0.89361,             0.71075,            0.025099,           0.0038071,                   0,            0.007426,            0.007426,            0.007426
                  80,              0.0218,           0.0096759,                   0,             0.84353,             0.87079,             0.91178,             0.72549,            0.023753,           0.0035194,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.021854,           0.0099027,                   0,             0.80427,             0.80798,             0.86033,              0.6903,            0.023663,           0.0037391,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.023072,            0.010347,                   0,             0.81892,             0.81461,              0.8635,             0.68125,            0.027822,            0.003933,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.022199,           0.0096532,                   0,             0.87324,             0.83211,             0.93241,             0.73846,            0.023385,           0.0034141,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.022912,           0.0094644,                   0,             0.87041,             0.85112,             0.92152,             0.74353,            0.023716,           0.0035287,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.022651,           0.0099211,                   0,             0.79069,             0.88764,             0.90627,             0.73656,            0.022312,           0.0036871,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.021601,           0.0097564,                   0,             0.83117,             0.84831,             0.87376,             0.71149,            0.021728,            0.004011,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.022333,           0.0099722,                   0,             0.79988,             0.86798,             0.87219,             0.71475,            0.020252,           0.0038289,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.021582,           0.0095739,                   0,             0.85476,             0.83708,             0.89628,             0.71402,            0.023103,           0.0035807,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.021829,           0.0098786,                   0,             0.88229,             0.84551,             0.93235,             0.75822,            0.022864,           0.0033533,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.021551,           0.0095674,                   0,              0.8212,              0.7809,             0.84461,             0.67418,             0.02493,           0.0038402,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.021674,           0.0093161,                   0,             0.79662,             0.74816,             0.82894,             0.66266,            0.025315,           0.0042034,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.02213,           0.0098179,                   0,             0.80129,             0.83427,             0.88657,             0.70894,            0.024533,           0.0035044,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.021425,           0.0092734,                   0,             0.85503,             0.77864,             0.87955,             0.70082,            0.020161,           0.0036921,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.020983,           0.0091833,                   0,             0.87477,             0.82412,             0.91544,              0.7412,            0.021794,           0.0035472,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.020534,           0.0093216,                   0,             0.82654,             0.82865,             0.89999,             0.71773,            0.024845,           0.0037605,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.020613,           0.0093778,                   0,             0.86382,             0.85529,             0.90441,             0.71869,            0.024082,           0.0038266,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.020571,           0.0089623,                   0,             0.87968,             0.88764,             0.93231,             0.76397,            0.020274,            0.003542,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.020415,           0.0090904,                   0,             0.80445,             0.86664,             0.87907,             0.70541,            0.024237,            0.003525,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.020413,           0.0094942,                   0,             0.83939,             0.86617,             0.90412,             0.72377,            0.022173,           0.0037115,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.020812,           0.0089746,                   0,             0.84514,             0.85846,             0.91013,             0.73492,            0.022201,           0.0034629,                   0,            0.006733,            0.006733,            0.006733
                 101,              0.0207,           0.0088683,                   0,              0.8536,             0.85112,             0.91147,             0.73086,             0.02354,           0.0036062,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.020714,           0.0089153,                   0,             0.85906,             0.87322,             0.90154,             0.75474,            0.019256,           0.0035511,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.020413,           0.0090957,                   0,             0.89015,             0.86497,             0.92415,             0.75869,            0.021987,           0.0034564,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.020381,           0.0087653,                   0,             0.87118,              0.8764,             0.91543,             0.75661,            0.024029,           0.0035608,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.019853,            0.008754,                   0,             0.89685,             0.86517,             0.92645,             0.76308,             0.02223,           0.0033586,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.01982,           0.0087308,                   0,             0.89844,             0.86976,             0.92859,             0.76429,            0.023421,           0.0031957,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.019659,           0.0085947,                   0,             0.85706,             0.89263,              0.9238,             0.75954,            0.020188,           0.0032913,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.020547,           0.0085187,                   0,             0.84846,             0.85955,             0.90593,             0.73644,            0.021082,           0.0033602,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.019613,           0.0086213,                   0,             0.88233,             0.88461,              0.9349,             0.76286,            0.019904,           0.0032507,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.020129,           0.0086421,                   0,             0.89415,             0.85421,             0.93048,             0.78056,            0.018455,           0.0032488,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.01883,           0.0085928,                   0,             0.87493,             0.82303,             0.89877,             0.74857,            0.023718,            0.003403,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.019515,           0.0086101,                   0,             0.88552,              0.8736,             0.93121,             0.76386,            0.021774,           0.0032302,                   0,            0.006337,            0.006337,            0.006337
                 113,             0.01858,           0.0082054,                   0,             0.86233,             0.89607,             0.94017,             0.78132,            0.018855,           0.0032392,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.019113,           0.0084758,                   0,             0.85793,             0.85955,             0.90526,             0.74247,            0.020122,           0.0035509,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.019023,           0.0084563,                   0,             0.86277,             0.82865,             0.91091,             0.75512,            0.020091,           0.0034462,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.01886,           0.0080493,                   0,             0.83715,             0.88083,             0.91866,             0.76978,             0.02195,           0.0033731,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.019002,           0.0080429,                   0,             0.86637,             0.87413,             0.93151,             0.77849,            0.020991,           0.0031622,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.019121,           0.0083082,                   0,             0.88522,             0.85112,             0.92525,             0.76605,            0.021322,           0.0033004,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.01879,           0.0081667,                   0,             0.91618,             0.89326,             0.95184,             0.78407,             0.01824,           0.0031336,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.018656,           0.0081201,                   0,             0.88592,              0.8764,             0.92355,             0.76595,            0.017593,           0.0033007,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.018757,           0.0082607,                   0,              0.8855,             0.86894,             0.92392,             0.77762,            0.018353,           0.0033736,                   0,             0.00604,             0.00604,             0.00604
                 122,              0.0188,           0.0082569,                   0,             0.92565,             0.83934,             0.93371,             0.77182,            0.018461,           0.0034051,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.019182,           0.0082308,                   0,             0.89181,             0.87079,             0.92332,              0.7606,            0.019642,           0.0034369,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.018531,           0.0081742,                   0,             0.90268,             0.87921,             0.92716,             0.79002,            0.018589,           0.0032154,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.018379,           0.0078419,                   0,             0.87332,             0.88483,             0.92223,             0.77264,            0.018573,           0.0033029,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.018458,           0.0083349,                   0,              0.8763,             0.89607,             0.93266,             0.79093,            0.015558,            0.003347,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.018748,           0.0078591,                   0,             0.90689,             0.84819,             0.93198,             0.78818,            0.020192,           0.0033178,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.018155,           0.0081751,                   0,             0.91035,             0.83427,             0.90421,             0.74888,            0.025377,           0.0037534,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.018216,             0.00793,                   0,             0.89435,             0.87921,             0.92055,             0.76747,            0.019591,           0.0036718,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.018008,           0.0076804,                   0,             0.90378,             0.87067,             0.93473,             0.76489,            0.021171,           0.0032952,                   0,            0.005743,            0.005743,            0.005743
                 131,             0.01777,           0.0078582,                   0,              0.9101,              0.8764,             0.94576,             0.79453,            0.020032,           0.0032743,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.017584,           0.0078985,                   0,             0.89099,             0.89541,              0.9434,             0.79637,            0.020623,           0.0031485,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.018435,           0.0078045,                   0,             0.90493,             0.88231,             0.93994,             0.80289,            0.022251,           0.0030917,                   0,            0.005644,            0.005644,            0.005644
