               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,             0.02306,            0.010347,                   0,             0.79695,             0.80484,              0.8579,             0.65547,            0.020888,            0.004277,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,            0.023384,            0.010512,                   0,             0.80854,             0.78293,             0.84875,             0.64677,            0.026647,            0.003921,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,            0.022275,            0.010178,                   0,             0.79333,             0.80868,             0.84487,              0.6542,            0.020543,           0.0037869,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,            0.023291,            0.010573,                   0,             0.80395,             0.86236,             0.89474,             0.68899,            0.018804,           0.0037432,                   0,             0.00703,             0.00703,             0.00703
                  77,            0.022746,            0.010277,                   0,             0.85432,             0.80899,             0.89592,             0.69888,            0.021553,           0.0037068,                   0,           0.0069904,           0.0069904,           0.0069904
                  78,            0.022741,            0.010362,                   0,             0.79618,             0.88483,             0.90375,              0.7107,            0.022472,           0.0036586,                   0,           0.0069508,           0.0069508,           0.0069508
                  79,            0.023404,            0.010221,                   0,             0.85445,              0.7809,             0.88649,             0.70044,            0.021925,           0.0036792,                   0,           0.0069112,           0.0069112,           0.0069112
                  80,            0.022765,            0.010346,                   0,             0.78383,             0.80899,             0.84261,             0.66456,             0.02349,            0.003949,                   0,           0.0068716,           0.0068716,           0.0068716
                  81,            0.022771,            0.010178,                   0,             0.81426,             0.82022,             0.88192,             0.69813,            0.022354,           0.0037905,                   0,            0.006832,            0.006832,            0.006832
                  82,            0.021981,           0.0094325,                   0,             0.80826,             0.83146,              0.8547,             0.65752,             0.02416,           0.0039466,                   0,           0.0067924,           0.0067924,           0.0067924
                  83,            0.022283,           0.0094631,                   0,              0.8018,             0.75843,             0.84913,             0.64649,            0.026419,           0.0040505,                   0,           0.0067528,           0.0067528,           0.0067528
                  84,            0.023337,           0.0097659,                   0,             0.85321,              0.7347,             0.83178,             0.63752,             0.02244,           0.0048064,                   0,           0.0067132,           0.0067132,           0.0067132
                  85,            0.022075,           0.0096033,                   0,             0.86332,             0.83146,             0.89522,             0.72362,            0.025176,            0.003837,                   0,           0.0066736,           0.0066736,           0.0066736
                  86,            0.022103,           0.0094742,                   0,              0.8131,             0.86798,             0.90681,             0.72329,            0.020028,           0.0036639,                   0,            0.006634,            0.006634,            0.006634
                  87,             0.02131,           0.0097941,                   0,             0.80897,              0.8208,             0.86753,             0.68381,             0.02379,           0.0038802,                   0,           0.0065944,           0.0065944,           0.0065944
                  88,            0.021766,           0.0099767,                   0,             0.77696,             0.77302,              0.8306,             0.65657,            0.024377,           0.0043247,                   0,           0.0065548,           0.0065548,           0.0065548
                  89,            0.021471,           0.0092891,                   0,             0.83164,             0.81864,              0.8944,             0.71436,            0.020784,           0.0037899,                   0,           0.0065152,           0.0065152,           0.0065152
                  90,            0.021497,           0.0095671,                   0,             0.83972,             0.83883,             0.89084,             0.71528,            0.020857,           0.0039253,                   0,           0.0064756,           0.0064756,           0.0064756
                  91,            0.020911,             0.00938,                   0,              0.8094,             0.84831,             0.88139,             0.70723,            0.021923,           0.0038339,                   0,            0.006436,            0.006436,            0.006436
                  92,            0.021468,           0.0095923,                   0,             0.84866,             0.83146,             0.90358,             0.72804,            0.022236,           0.0036513,                   0,           0.0063964,           0.0063964,           0.0063964
                  93,            0.020833,           0.0095979,                   0,             0.86236,             0.80959,             0.87878,             0.67488,            0.024548,           0.0037898,                   0,           0.0063568,           0.0063568,           0.0063568
                  94,             0.02099,           0.0095492,                   0,             0.84568,              0.8736,             0.90147,             0.73317,            0.020007,           0.0033306,                   0,           0.0063172,           0.0063172,           0.0063172
                  95,            0.020531,           0.0092934,                   0,             0.81375,             0.86236,             0.88576,             0.71259,            0.021294,           0.0036116,                   0,           0.0062776,           0.0062776,           0.0062776
                  96,            0.020743,           0.0089335,                   0,             0.85447,             0.85393,             0.90776,             0.73559,            0.022599,           0.0035941,                   0,            0.006238,            0.006238,            0.006238
