                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.75495,                0.95444,                 1.0823,                0.66894,                0.74719,                0.77173,                0.61616,                0.69634,                 0.9308,                0.98052,               0.008515,               0.008515,               0.008515
                     47,                0.75968,                0.94803,                 1.0926,                 0.6855,                0.68258,                0.73099,                0.61295,                0.69715,                0.98767,                0.95195,               0.008482,               0.008482,               0.008482
                     48,                0.75395,                0.91142,                 1.0766,                 0.7022,                0.71067,                0.77838,                0.64656,                0.66173,                0.85301,                0.94807,               0.008449,               0.008449,               0.008449
                     49,                0.74496,                  0.914,                 1.0746,                0.64177,                0.79213,                 0.7841,                0.64275,                 0.6903,                0.88956,                0.98098,               0.008416,               0.008416,               0.008416
                     50,                0.73363,                0.88942,                 1.0737,                0.66955,                0.75843,                0.76102,                0.63178,                0.70032,                0.87037,                0.97158,               0.008383,               0.008383,               0.008383
                     51,                0.74316,                0.88249,                 1.0771,                 0.7568,                 0.7255,                0.78997,                0.65753,                0.66854,                0.85914,                0.93561,                0.00835,                0.00835,                0.00835
                     52,                0.72743,                0.84674,                 1.0592,                0.74802,                0.73379,                0.79767,                0.65792,                0.67562,                0.88026,                0.96834,               0.008317,               0.008317,               0.008317
                     53,                0.73541,                0.88305,                 1.0725,                0.75847,                0.74098,                 0.7967,                0.65915,                0.67966,                0.84262,                0.94663,               0.008284,               0.008284,               0.008284
                     54,                0.72257,                0.87482,                 1.0697,                0.77994,                0.77656,                0.85533,                0.71882,                0.65576,                0.76343,                0.94715,               0.008251,               0.008251,               0.008251
                     55,                0.74175,                0.85546,                 1.0687,                0.75188,                 0.8118,                0.85756,                0.71756,                0.66572,                0.75014,                0.94237,               0.008218,               0.008218,               0.008218
                     56,                0.73072,                0.86207,                 1.0713,                0.71806,                0.80126,                0.80402,                  0.673,                0.66586,                0.81136,                0.93832,               0.008185,               0.008185,               0.008185
                     57,                0.71164,                0.82679,                 1.0492,                0.76111,                0.74281,                0.83105,                0.70076,                0.65985,                0.80773,                 0.9315,               0.008152,               0.008152,               0.008152
                     58,                0.70319,                0.81873,                 1.0512,                0.75412,                0.78371,                0.85486,                0.72369,                 0.6523,                0.75211,                0.92769,               0.008119,               0.008119,               0.008119
                     59,                0.71885,                0.81654,                  1.058,                0.72005,                0.75562,                0.80575,                 0.6779,                0.63443,                0.82596,                0.92645,               0.008086,               0.008086,               0.008086
                     60,                0.70644,                0.82192,                 1.0501,                0.76625,                0.77528,                0.83901,                0.70802,                0.63618,                0.75031,                0.92212,               0.008053,               0.008053,               0.008053
                     61,                0.70549,                0.80914,                 1.0529,                0.74671,                0.83989,                0.85871,                0.73603,                0.61118,                0.73945,                0.92117,                0.00802,                0.00802,                0.00802
                     62,                0.71021,                0.77947,                  1.051,                0.81827,                0.78933,                0.87729,                0.74499,                0.61369,                0.73618,                 0.9128,               0.007987,               0.007987,               0.007987
                     63,                0.70785,                0.77384,                 1.0544,                0.79321,                0.79494,                0.86242,                0.73292,                0.64265,                 0.7247,                0.91573,               0.007954,               0.007954,               0.007954
                     64,                0.67788,                0.75091,                  1.043,                0.74844,                0.81742,                0.84548,                0.71518,                0.63075,                 0.7666,                0.92046,               0.007921,               0.007921,               0.007921
                     65,                 0.6939,                0.77881,                 1.0461,                0.79267,                0.78652,                0.85723,                0.73165,                0.61905,                0.71071,                 0.9234,               0.007888,               0.007888,               0.007888
                     66,                 0.7109,                0.75507,                 1.0534,                0.79468,                0.80455,                 0.8608,                0.72676,                0.64161,                0.73164,                 0.9339,               0.007855,               0.007855,               0.007855
                     67,                0.68625,                0.73502,                 1.0419,                0.79997,                0.71629,                0.83955,                0.71484,                0.64285,                0.75307,                0.92005,               0.007822,               0.007822,               0.007822
                     68,                0.68148,                0.74392,                 1.0397,                0.73949,                0.76966,                0.83625,                 0.7119,                0.63097,                0.78859,                0.91038,               0.007789,               0.007789,               0.007789
                     69,                0.67355,                0.73606,                 1.0273,                0.77482,                0.82022,                0.87962,                0.75295,                0.61735,                0.70062,                 0.8969,               0.007756,               0.007756,               0.007756
                     70,                0.66775,                0.72321,                 1.0355,                0.78235,                0.82303,                0.88844,                 0.7505,                0.62715,                0.70934,                0.91837,               0.007723,               0.007723,               0.007723
                     71,                0.65137,                0.70208,                 1.0238,                0.81022,                0.85145,                0.90443,                0.76664,                0.62377,                0.62893,                0.91363,                0.00769,                0.00769,                0.00769
                     72,                0.66272,                0.70243,                 1.0292,                0.82229,                0.83427,                0.89627,                0.76342,                0.63288,                0.62629,                0.90648,               0.007657,               0.007657,               0.007657
                     73,                0.65451,                0.69045,                 1.0249,                0.78858,                0.82771,                0.86802,                0.74535,                 0.6195,                0.66911,                0.91011,               0.007624,               0.007624,               0.007624
                     74,                0.66404,                 0.6988,                 1.0318,                0.79123,                0.81976,                0.88042,                0.75836,                0.60297,                0.64524,                0.90806,               0.007591,               0.007591,               0.007591
                     75,                0.65084,                0.69983,                 1.0286,                0.79416,                0.83451,                0.89124,                0.76573,                0.63373,                0.61858,                0.91342,               0.007558,               0.007558,               0.007558
                     76,                0.65129,                0.67016,                 1.0218,                0.83032,                0.79726,                0.88721,                  0.768,                0.58857,                0.66567,                0.89213,               0.007525,               0.007525,               0.007525
                     77,                0.63658,                 0.6792,                 1.0204,                0.85313,                0.83146,                0.90484,                0.76741,                 0.5762,                0.61389,                0.89364,               0.007492,               0.007492,               0.007492
                     78,                0.65612,                0.69574,                 1.0303,                0.81316,                0.86798,                0.90168,                0.76709,                0.59367,                0.66755,                0.89115,               0.007459,               0.007459,               0.007459
                     79,                 0.6465,                0.66632,                 1.0251,                0.79117,                0.83989,                0.88722,                0.77196,                0.57917,                0.64158,                0.89588,               0.007426,               0.007426,               0.007426
                     80,                0.63841,                0.64982,                 1.0148,                0.79544,                0.81921,                0.86534,                0.75242,                0.58396,                0.66805,                0.87835,               0.007393,               0.007393,               0.007393
                     81,                0.63364,                0.64408,                  1.017,                 0.8453,                0.84551,                0.91195,                0.80058,                0.54775,                0.57444,                0.88236,                0.00736,                0.00736,                0.00736
                     82,                0.62651,                0.63858,                 1.0125,                 0.8502,                0.78652,                0.90215,                0.78329,                0.56883,                0.61683,                0.87428,               0.007327,               0.007327,               0.007327
                     83,                0.62887,                0.64005,                 1.0097,                0.87727,                0.82319,                0.91128,                0.80341,                 0.5594,                0.55894,                0.86589,               0.007294,               0.007294,               0.007294
                     84,                0.65598,                0.64144,                 1.0196,                0.80326,                0.83989,                0.88993,                  0.779,                0.56495,                0.63326,                0.87947,               0.007261,               0.007261,               0.007261
                     85,                0.61653,                0.61885,                 1.0062,                0.85139,                0.85112,                 0.9196,                0.78952,                0.57677,                0.59587,                 0.8936,               0.007228,               0.007228,               0.007228
                     86,                0.62237,                0.61722,                 1.0024,                0.86856,                0.83529,                0.91719,                 0.7992,                0.57386,                0.57374,                0.88872,               0.007195,               0.007195,               0.007195
                     87,                0.61349,                0.61251,                 1.0083,                0.84017,                0.85112,                0.89679,                0.78586,                0.56794,                0.58455,                0.87315,               0.007162,               0.007162,               0.007162
                     88,                0.62549,                 0.6122,                 1.0071,                 0.8414,                0.83146,                0.88763,                0.78354,                0.56464,                0.58649,                0.88232,               0.007129,               0.007129,               0.007129
                     89,                0.61408,                0.59917,                0.99981,                0.92295,                0.84118,                0.93769,                0.82856,                0.55212,                0.51282,                0.87101,               0.007096,               0.007096,               0.007096
                     90,                0.60856,                0.60576,                  1.001,                0.84512,                  0.889,                0.93911,                0.82477,                0.53805,                0.55487,                0.86439,               0.007063,               0.007063,               0.007063
                     91,                0.59428,                0.57787,                0.99411,                0.87038,                0.86768,                0.90131,                0.79272,                0.54377,                0.55539,                0.87254,                0.00703,                0.00703,                0.00703
                     92,                0.59935,                0.58838,                 1.0004,                0.83598,                0.84472,                0.87812,                0.78064,                0.53964,                0.56049,                0.86886,               0.006997,               0.006997,               0.006997
                     93,                0.58767,                0.58284,                0.99042,                0.86408,                0.86798,                0.92333,                0.81363,                0.53571,                0.53962,                0.85925,               0.006964,               0.006964,               0.006964
                     94,                0.59374,                0.57128,                0.99885,                0.88905,                0.85674,                0.91568,                0.80285,                0.54226,                0.59009,                0.87645,               0.006931,               0.006931,               0.006931
                     95,                0.59179,                0.57352,                0.99757,                0.83386,                0.85955,                0.90457,                0.80458,                0.53553,                0.57699,                0.86258,               0.006898,               0.006898,               0.006898
                     96,                0.59502,                0.57077,                0.99016,                0.86359,                 0.8736,                0.92738,                0.82813,                0.53002,                0.54784,                0.86387,               0.006865,               0.006865,               0.006865
                     97,                0.57645,                0.55488,                0.98003,                0.85229,                0.87522,                0.93445,                0.82727,                0.54155,                0.50852,                0.86572,               0.006832,               0.006832,               0.006832
                     98,                0.58514,                0.56539,                0.98694,                0.88124,                0.88764,                0.92061,                0.81877,                0.53521,                0.51004,                0.86466,               0.006799,               0.006799,               0.006799
                     99,                0.57739,                0.54671,                0.98122,                0.86025,                0.88183,                0.91343,                0.80975,                0.54466,                0.53842,                0.87534,               0.006766,               0.006766,               0.006766
                    100,                0.57567,                0.53787,                0.98513,                0.87976,                0.84262,                0.90783,                0.81006,                0.54377,                0.55048,                0.88548,               0.006733,               0.006733,               0.006733
                    101,                0.58453,                0.54858,                0.98157,                0.86067,                0.85022,                0.91415,                0.81451,                0.52334,                0.57085,                 0.8653,                 0.0067,                 0.0067,                 0.0067
                    102,                0.59547,                0.55703,                0.99097,                0.89317,                 0.8455,                0.91712,                0.81752,                0.53679,                0.52256,                0.85721,               0.006667,               0.006667,               0.006667
                    103,                0.56978,                0.52957,                0.97754,                0.88741,                0.86517,                0.91711,                0.81859,                0.53517,                  0.548,                0.86075,               0.006634,               0.006634,               0.006634
                    104,                0.56272,                0.52299,                0.97078,                0.90009,                0.86038,                0.92191,                 0.8156,                0.53634,                0.51482,                0.86164,               0.006601,               0.006601,               0.006601
                    105,                0.55912,                0.52278,                0.97553,                 0.8651,                0.90072,                0.91645,                0.82244,                0.51407,                0.48316,                 0.8392,               0.006568,               0.006568,               0.006568
                    106,                  0.558,                0.53418,                0.97676,                0.91426,                0.85674,                0.90974,                0.81229,                0.52593,                 0.5044,                0.86473,               0.006535,               0.006535,               0.006535
                    107,                0.55947,                0.52828,                0.97809,                0.89425,                0.85511,                 0.9296,                0.82924,                0.51175,                0.48711,                0.85819,               0.006502,               0.006502,               0.006502
                    108,                0.54578,                0.52469,                0.96806,                0.86821,                0.87921,                0.92912,                0.82581,                0.51245,                0.48352,                0.84862,               0.006469,               0.006469,               0.006469
                    109,                0.55328,                0.50779,                0.97399,                 0.8484,                0.89326,                0.92311,                0.82015,                0.53212,                0.50355,                0.86269,               0.006436,               0.006436,               0.006436
                    110,                0.54665,                0.49886,                0.96354,                 0.9017,                0.90186,                0.95153,                0.86293,                0.47985,                0.42569,                0.84301,               0.006403,               0.006403,               0.006403
                    111,                0.55356,                0.50453,                0.97136,                0.87511,                0.90539,                0.93167,                0.83998,                0.49819,                0.47633,                0.84558,                0.00637,                0.00637,                0.00637
                    112,                 0.5461,                0.51224,                0.97001,                0.88996,                0.89326,                0.94259,                0.84381,                0.50402,                0.45968,                0.84634,               0.006337,               0.006337,               0.006337
                    113,                0.54538,                0.50589,                0.96358,                0.86828,                0.87921,                0.89177,                0.79586,                0.51751,                0.52658,                0.84535,               0.006304,               0.006304,               0.006304
                    114,                0.53421,                0.50169,                0.95889,                0.86546,                0.92135,                0.95346,                0.85597,                 0.4825,                0.44929,                0.84013,               0.006271,               0.006271,               0.006271
                    115,                0.54899,                0.50979,                 0.9697,                0.89474,                0.90732,                0.93318,                0.84707,                 0.4805,                0.45846,                0.83625,               0.006238,               0.006238,               0.006238
                    116,                0.54143,                0.49076,                0.97001,                0.91709,                0.90104,                0.95141,                0.85206,                0.47645,                0.44915,                0.83849,               0.006205,               0.006205,               0.006205
                    117,                0.53735,                0.49686,                0.96471,                0.86184,                0.91115,                0.94511,                0.85026,                0.49722,                0.45572,                0.84865,               0.006172,               0.006172,               0.006172
                    118,                0.52935,                 0.4817,                0.95771,                0.87118,                 0.8928,                0.93021,                 0.8454,                0.48528,                0.48861,                0.83049,               0.006139,               0.006139,               0.006139
                    119,                0.54208,                0.48945,                0.96376,                0.87834,                0.89607,                0.93342,                0.85111,                0.47646,                0.46343,                0.82227,               0.006106,               0.006106,               0.006106
                    120,                0.52395,                0.47831,                0.96067,                0.88981,                0.88467,                0.91792,                0.83645,                0.48795,                0.49335,                0.83009,               0.006073,               0.006073,               0.006073
                    121,                0.52649,                0.48387,                0.96024,                0.88218,                0.88336,                0.93195,                0.84985,                0.46871,                0.47189,                0.82561,                0.00604,                0.00604,                0.00604
                    122,                0.53202,                0.47743,                0.95829,                0.92519,                0.90169,                0.94886,                 0.8593,                0.46609,                0.42399,                0.81737,               0.006007,               0.006007,               0.006007
                    123,                0.54419,                 0.4818,                0.96274,                0.93641,                0.86868,                0.93959,                0.85402,                0.46756,                0.44949,                0.81666,               0.005974,               0.005974,               0.005974
